student_input,session_context,label,intent_name
can u repeat,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:75%,Error Handling:49% | emotion:confused | pace:steady | slides:31,32,33",4,Repeat/clarification
can u repeat,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:35%,For Loops:88%,While Loops:65% | emotion:overwhelmed | pace:normal | slides:14,15,16",4,Repeat/clarification
can we sskip,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:33% | emotion:engaged | pace:moderate | slides:25,26,27",3,Pace-Related
How long until we get to Functions and Scope?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:51%,Boolean Logic:96%,If/Else Conditionals:55% | emotion:overwhelmed | pace:steady | slides:59,60,61",1,Off-Topic Question
huh?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:83%,Functions&Scope:35%,Lambda Functions:36% | emotion:tired | pace:normal | slides:44,45,46",4,Repeat/clarification
i fee so umb,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:52%,Functions&Scope:54%,Lambda Functions:61% | emotion:frustrated | pace:rushed | slides:38,39,40",2,Emotional-State
"I lost you there, can you start over on that point?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:70%,For Loops:91%,While Loops:64% | emotion:excited | pace:dragging | slides:37,38,39",4,Repeat/clarification
what day is it,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:55%,Sets:53%,Functions&Scope:77% | emotion:neutral | pace:normal | slides:26,27,28",1,Off-Topic Question
whats ur name,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:89%,Lists&Tuples:67%,Dictionaries:46% | emotion:tired | pace:moderate | slides:33,34,35",1,Off-Topic Question
What's the difference between the two approaches you showed for Variables and Data Types!!,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:normal | slides:13,14,15",0,On-Topic Question
i love coding,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:42%,Dictionaries:46%,Sets:94% | emotion:engaged | pace:normal | slides:58,59,60",2,Emotional-State
i quit,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:96%,Lambda Functions:93%,Error Handling:50% | emotion:tired | pace:fast | slides:40,41,42",2,Emotional-State
"i'm confused, i feel so dumb right now.","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:49%,Strings&Formatting:89%,Arithmetic Operators:77% | emotion:engaged | pace:steady | slides:32,33,34",2,Emotional-State
Tell me more about issue Handling (Try/Except),"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:54%,Functions&Scope:36%,Lambda Functions:36% | emotion:neutral | pace:rushed | slides:26,27,28",0,On-Topic Question
"I didn't comprehend, please say it again.","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:32%,For Loops:82%,While Loops:84% | emotion:frustrated | pace:moderate | slides:10,11,12",4,Repeat/clarification
what does that mean,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:51%,Arithmetic Operators:49%,Boolean Logic:97% | emotion:bored | pace:slow | slides:48,49,50",0,On-Topic Question
"i understood strings and formatting but if/else conditionals feels completely another, why?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:87%,Arithmetic Operators:90%,Boolean Logic:81% | emotion:neutral | pace:normal | slides:13,14,15",0,On-Topic Question
this is too hard,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:69%,Sets:61%,Functions&Scope:47% | emotion:tired | pace:rushed | slides:32,33,34",2,Emotional-State
"I understood Lambad Functions but Classes and OOP feels completelly different, why?","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:71%,Lambda Functions:31%,Error Handling:80% | emotion:excited | pace:normal | slides:45,46,47",0,On-Topic Question
yo what,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:82%,Sets:44%,Functions&Scope:69% | emotion:anxious | pace:rushed | slides:58,59,60",2,Emotional-State
what'ss the weatherr,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:73%,If/Else Conditionals:59%,For Loops:60% | emotion:tired | pace:normal | slides:54,55,56",1,Off-Topic Question
more examples pls,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:72%,Arithmetic Operators:63%,Boolean Logic:56% | emotion:focused | pace:steady | slides:53,54,55",0,On-Topic Question
chill for a sec,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:68%,Strings&Formatting:97%,Arithmetic Operators:66% | emotion:excited | pace:dragging | slides:23,24,25",3,Pace-Related
umm chill for a sec,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:89%,Arithmetic Operators:48%,Boolean Logic:66% | emotion:confused | pace:rushed | slides:52,53,54",3,Pace-Related
I don't understand anything.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:83%,Dictionaries:83%,Sets:35% | emotion:overwhelmed | pace:steady | slides:8,9,10",2,Emotional-State
Tell me more about Boolean Logic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:40%,Strings&Formatting:41%,Arithmetic Operators:67% | emotion:confused | pace:fast | slides:22,23,24",0,On-Topic Question
smh,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:49%,Dictionaries:89%,Sets:66% | emotion:overwhelmed | pace:moderate | slides:55,56,57",2,Emotional-State
Is Lambda Functions related to what we are doing now?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:51%,For Loops:51%,While Loops:57% | emotion:bored | pace:dragging | slides:32,33,34",1,Off-Topic Question
run that back,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:60% | emotion:neutral | pace:normal | slides:45,46,47",4,Repeat/clarification
"Hold on, I'm still writing notes.","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:73%,Sets:99%,Functions&Scope:45% | emotion:confused | pace:slow | slides:36,37,38",3,Pace-Related
I feel anxious about falling behind.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:74%,Strings&Formatting:86%,Arithmetic Operators:82% | emotion:focused | pace:dragging | slides:9,10,11",2,Emotional-State
ca you rpesent mme with code,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:100%,Functions&Scope:56%,Lambda Functions:80% | emotion:focused | pace:slow | slides:59,60,61",0,On-Topic Question
more examples pls,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:56%,Boolean Logic:48%,If/Else Conditionals:47% | emotion:excited | pace:fast | slides:9,10,11",0,On-Topic Question
can u my math,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:83%,For Loops:72%,While Loops:35% | emotion:focused | pace:fast | slides:55,56,57",1,Off-Topic Question
skip this,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:94% | emotion:tired | pace:steady | slides:53,54,55",3,Pace-Related
I'm so sleepy right now.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:85%,Strings&Formatting:46%,Arithmetic Operators:65% | emotion:engaged | pace:slow | slides:11,12,13",2,Emotional-State
I'm losing my patience.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:34% | emotion:confused | pace:normal | slides:25,26,27",2,Emotional-State
How long until we get to Error Handling (Try/Except),"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:80%,While Loops:53%,Lists&Tuples:59% | emotion:overwhelmed | pace:moderate | slides:21,22,23",1,Off-Topic Question
again?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:39%,Lambda Functions:68%,Error Handling:81% | emotion:anxious | pace:moderate | slides:33,34,35",4,Repeat/clarification
Is Dictionaries something I'll use every day?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:45%,While Loops:48%,Lists&Tuples:70% | emotion:overwhelmed | pace:dragging | slides:33,34,35",0,On-Topic Question
say that one more time,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:81%,While Loops:85%,Lists&Tuples:94% | emotion:overwhelmed | pace:steady | slides:47,48,49",4,Repeat/clarification
show me,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:87% | emotion:tired | pace:slow | slides:55,56,57",0,On-Topic Question
What if I fail?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:fast | slides:34,35,36",2,Emotional-State
lowkey confused!!,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:steady | slides:34,35,36",2,Emotional-State
"Give me a sec, I'm still processing.","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:98% | emotion:overwhelmed | pace:rushed | slides:35,36,37",3,Pace-Related
yay i did it,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:44%,Arithmetic Operators:73%,Boolean Logic:76% | emotion:excited | pace:steady | slides:5,6,7",2,Emotional-State
SKIP AHEAD PLEASE.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:98%,Sets:75%,Functions&Scope:31% | emotion:confused | pace:rushed | slides:12,13,14",3,Pace-Related
Is Lists and Tuples something I'll use every day?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:96%,For Loops:70%,While Loops:71% | emotion:anxious | pace:dragging | slides:54,55,56",0,On-Topic Question
How do I fix my car?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:63%,Functions&Scope:42%,Lambda Functions:95% | emotion:tired | pace:normal | slides:40,41,42",1,Off-Topic Question
what does that mean,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:66%,Lists&Tuples:35%,Dictionaries:39% | emotion:anxious | pace:steady | slides:7,8,9",0,On-Topic Question
how do i work with Boolean Logic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:67%,Strings&Formatting:90%,Arithmetic Operators:95% | emotion:overwhelmed | pace:moderate | slides:53,54,55",0,On-Topic Question
I feel about falling behind?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:fast | slides:41,42,43",2,Emotional-State
what does this line do,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:57%,While Loops:88%,Lists&Tuples:62% | emotion:confused | pace:slow | slides:30,31,32",0,On-Topic Question
my brain hurts,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:98%,Functions&Scope:40%,Lambda Functions:38% | emotion:engaged | pace:fast | slides:37,38,39",2,Emotional-State
How much does a new car cost?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:53%,If/Else Conditionals:85%,For Loops:58% | emotion:overwhelmed | pace:fast | slides:24,25,26",1,Off-Topic Question
spee pu pls?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:82%,Strings&Formatting:97% | emotion:engaged | pace:normal | slides:17,18,19",3,Pace-Related
i keep getting an error,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:steady | slides:10,11,12",0,On-Topic Question
like go faster,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:37%,Arithmetic Operators:83%,Boolean Logic:75% | emotion:overwhelmed | pace:steady | slides:56,57,58",3,Pace-Related
wait wait wait,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:38%,Error Handling:93%,Classes&OOP:91% | emotion:frustrated | pace:rushed | slides:30,31,32",3,Pace-Related
skip this,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:72%,Lists&Tuples:80%,Dictionaries:60% | emotion:focused | pace:normal | slides:32,33,34",3,Pace-Related
this is fun,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:78%,Sets:99%,Functions&Scope:92% | emotion:confused | pace:slow | slides:6,7,8",2,Emotional-State
are you chatgpt,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:81%,Error Handling:65%,Classes&OOP:91% | emotion:neutral | pace:normal | slides:25,26,27",1,Off-Topic Question
this is impossible,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:79% | emotion:bored | pace:steady | slides:37,38,39",2,Emotional-State
rewind,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:50%,Arithmetic Operators:55%,Boolean Logic:50% | emotion:confused | pace:dragging | slides:12,13,14",4,Repeat/clarification
u what mean,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:95%,Lambda Functions:65%,Error Handling:57% | emotion:confused | pace:fast | slides:23,24,25",4,Repeat/clarification
sing me a song,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:47%,Sets:100%,Functions&Scope:98% | emotion:frustrated | pace:rushed | slides:17,18,19",1,Off-Topic Question
Is Functioons and Scope relatde to what we are doing now?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:31%,While Loops:83%,Lists&Tuples:58% | emotion:overwhelmed | pace:normal | slides:16,17,18",1,Off-Topic Question
Don't rush through this please.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:80%,Lambda Functions:79%,Error Handling:34% | emotion:bored | pace:steady | slides:8,9,10",3,Pace-Related
help me with my homework,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:96%,Boolean Logic:48%,If/Else Conditionals:83% | emotion:excited | pace:slow | slides:34,35,36",1,Off-Topic Question
are you chatgpt,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:54%,Lambda Functions:88%,Error Handling:62% | emotion:bored | pace:normal | slides:17,18,19",1,Off-Topic Question
more examples pls,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:68%,Sets:79%,Functions&Scope:36% | emotion:overwhelmed | pace:steady | slides:24,25,26",0,On-Topic Question
this is too hard,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:100% | emotion:overwhelmed | pace:normal | slides:6,7,8",2,Emotional-State
hurry up!!,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:30%,Strings&Formatting:95% | emotion:engaged | pace:fast | slides:50,51,52",3,Pace-Related
Can you show that example one more time?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:74%,Lambda Functions:33%,Error Handling:58% | emotion:overwhelmed | pace:slow | slides:42,43,44",4,Repeat/clarification
i hate this so much,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:95%,Sets:77%,Functions&Scope:70% | emotion:engaged | pace:normal | slides:39,40,41",2,Emotional-State
This is so confusing it hurts.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:78%,Arithmetic Operators:89%,Boolean Logic:42% | emotion:focused | pace:fast | slides:35,36,37",2,Emotional-State
omg slow,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:71%,Error Handling:74%,Classes&OOP:85% | emotion:neutral | pace:fast | slides:24,25,26",3,Pace-Related
"I understood For Loops but Lists and Tuples feels completely another, why","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:97%,For Loops:93%,While Loops:32% | emotion:engaged | pace:rushed | slides:57,58,59",0,On-Topic Question
what,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:99%,While Loops:86%,Lists&Tuples:75% | emotion:engaged | pace:moderate | slides:35,36,37",4,Repeat/clarification
i feel smart,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:50%,If/Else Conditionals:54%,For Loops:37% | emotion:frustrated | pace:moderate | slides:56,57,58",2,Emotional-State
this is impossible,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:76%,Functions&Scope:87%,Lambda Functions:36% | emotion:overwhelmed | pace:normal | slides:59,60,61",2,Emotional-State
who is the president,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:83%,Boolean Logic:52%,If/Else Conditionals:45% | emotion:anxious | pace:moderate | slides:34,35,36",1,Off-Topic Question
"I saw someone using Classes and OOP, what does it do?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:67%,Boolean Logic:96%,If/Else Conditionals:89% | emotion:excited | pace:slow | slides:59,60,61",1,Off-Topic Question
what's your iq,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:rushed | slides:9,10,11",1,Off-Topic Question
Can you re-explain how that works?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:98%,Arithmetic Operators:64%,Boolean Logic:63% | emotion:frustrated | pace:dragging | slides:10,11,12",4,Repeat/clarification
What is your favorite color?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:36% | emotion:engaged | pace:rushed | slides:39,40,41",1,Off-Topic Question
hol up!!,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:38%,If/Else Conditionals:76%,For Loops:63% | emotion:excited | pace:dragging | slides:33,34,35",3,Pace-Related
i feel so dumb?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:42%,If/Else Conditionals:96%,For Loops:82% | emotion:excited | pace:steady | slides:59,60,61",2,Emotional-State
pawork with ls,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:42%,Strings&Formatting:54% | emotion:overwhelmed | pace:slow | slides:55,56,57",3,Pace-Related
this is impossible?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:78%,Dictionaries:94%,Sets:53% | emotion:bored | pace:dragging | slides:12,13,14",2,Emotional-State
"Give me sec, I'm processing. still","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:83%,If/Else Conditionals:59%,For Loops:87% | emotion:engaged | pace:rushed | slides:12,13,14",3,Pace-Related
"I'm confwork withd, I feel so dumb right now.","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:50%,While Loops:96%,Lists&Tuples:85% | emotion:anxious | pace:steady | slides:33,34,35",2,Emotional-State
one more timee,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:65%,Lambda Functions:73%,Error Handling:61% | emotion:frustrated | pace:dragging | slides:58,59,60",4,Repeat/clarification
who won the superbowl?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:89%,Lists&Tuples:74%,Dictionaries:72% | emotion:frustrated | pace:dragging | slides:27,28,29",1,Off-Topic Question
i am mad so right now,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:34%,While Loops:58%,Lists&Tuples:56% | emotion:anxious | pace:dragging | slides:53,54,55",2,Emotional-State
pardon?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:35%,Lambda Functions:70%,Error Handling:62% | emotion:frustrated | pace:steady | slides:37,38,39",4,Repeat/clarification
basically how old are you,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:72%,Arithmetic Operators:31%,Boolean Logic:50% | emotion:neutral | pace:dragging | slides:47,48,49",1,Off-Topic Question
hol up,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:67%,Arithmetic Operators:66%,Boolean Logic:99% | emotion:neutral | pace:slow | slides:51,52,53",3,Pace-Related
My head hurts from all this information.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:71%,Arithmetic Operators:92%,Boolean Logic:83% | emotion:frustrated | pace:fast | slides:26,27,28",2,Emotional-State
lost u there?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:92% | emotion:frustrated | pace:rushed | slides:37,38,39",4,Repeat/clarification
ok so When will we cover For Loops?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:61%,Arithmetic Operators:96%,Boolean Logic:83% | emotion:overwhelmed | pace:dragging | slides:47,48,49",1,Off-Topic Question
what happened?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:49% | emotion:bored | pace:moderate | slides:27,28,29",4,Repeat/clarification
how old are you,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:46%,If/Else Conditionals:76%,For Loops:86% | emotion:neutral | pace:slow | slides:32,33,34",1,Off-Topic Question
say again?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:83%,Lambda Functions:48%,Error Handling:33% | emotion:overwhelmed | pace:normal | slides:8,9,10",4,Repeat/clarification
how are you,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:83%,Sets:55%,Functions&Scope:45% | emotion:frustrated | pace:slow | slides:38,39,40",1,Off-Topic Question
what happened?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:62%,Lists&Tuples:65%,Dictionaries:90% | emotion:neutral | pace:dragging | slides:19,20,21",4,Repeat/clarification
pause?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:72%,Strings&Formatting:30%,Arithmetic Operators:32% | emotion:bored | pace:slow | slides:18,19,20",3,Pace-Related
ok so Is Classes and OOP related to what we are doing now,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:81%,For Loops:98%,While Loops:42% | emotion:engaged | pace:slow | slides:54,55,56",1,Off-Topic Question
what's the difference between the two approaches you showed for error handling (try/except)?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:80%,Functions&Scope:34%,Lambda Functions:72% | emotion:overwhelmed | pace:fast | slides:38,39,40",0,On-Topic Question
i don't understand the example,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:70%,If/Else Conditionals:51%,For Loops:86% | emotion:anxious | pace:dragging | slides:35,36,37",0,On-Topic Question
more examples pls,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:69%,Functions&Scope:97%,Lambda Functions:76% | emotion:anxious | pace:steady | slides:49,50,51",0,On-Topic Question
Can yo ure-un that exampl?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:80%,Functions&Scope:84%,Lambda Functions:71% | emotion:bored | pace:fast | slides:13,14,15",4,Repeat/clarification
Skip ahead please.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:79%,Sets:63%,Functions&Scope:60% | emotion:focused | pace:normal | slides:49,50,51",3,Pace-Related
didn't get that?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:moderate | slides:19,20,21",4,Repeat/clarification
I'm losing my patience.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:65%,Strings&Formatting:96% | emotion:confused | pace:slow | slides:23,24,25",2,Emotional-State
Can you go back to the previous slide for a second,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:100%,Functions&Scope:71%,Lambda Functions:40% | emotion:excited | pace:steady | slides:5,6,7",4,Repeat/clarification
basically bruh,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:61%,Sets:91%,Functions&Scope:35% | emotion:neutral | pace:rushed | slides:30,31,32",2,Emotional-State
