student_input,session_context,label,intent_name
wut was the last thing u said,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:overwhelmed | pace:slow | slides:18,19,20",4,Repeat/clarification
i wasnt payin attention,"topic:While Loops | prev:For Loops | ability:N/A | emotion:anxious | pace:slow | slides:15,16,17",4,Repeat/clarification
lets speed this up!!,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:focused | pace:rushed | slides:36,37,38",3,Pace-Related
i need help asap,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:excited | pace:steady | slides:45,46,47",2,Emotional-State
how 2 use zip(),"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:neutral | pace:moderate | slides:7,8,9",0,On-Topic Question
next pls,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:anxious | pace:rushed | slides:46,47,48",3,Pace-Related
strugling wit dis,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:excited | pace:fast | slides:46,47,48",2,Emotional-State
lol wut r we doin,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:tired | pace:moderate | slides:31,32,33",2,Emotional-State
i need a new phone,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:excited | pace:slow | slides:13,14,15",1,Off-Topic Question
whats the variable do?,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:excited | pace:rushed | slides:20,21,22",4,Repeat/clarification
whats the best social media app,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:confused | pace:slow | slides:39,40,41",1,Off-Topic Question
i feel like im goin crazy,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:frustrated | pace:steady | slides:43,44,45",2,Emotional-State
Netflix,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:focused | pace:slow | slides:11,12,13",1,Off-Topic Question
whats the diff btwn break and continue,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:excited | pace:dragging | slides:43,44,45",0,On-Topic Question
variablez r my enemy,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:overwhelmed | pace:dragging | slides:25,26,27",2,Emotional-State
i need a brake,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:engaged | pace:fast | slides:22,23,24",3,Pace-Related
im soooo tirrd,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:confused | pace:slow | slides:17,18,19",2,Emotional-State
do u like sports,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:bored | pace:dragging | slides:4,5,6",1,Off-Topic Question
can we speed up?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:anxious | pace:fast | slides:48,49,50",3,Pace-Related
i love gaming,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:bored | pace:dragging | slides:27,28,29",1,Off-Topic Question
wat was that?,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:focused | pace:rushed | slides:12,13,14",4,Repeat/clarification
slow down!!,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:overwhelmed | pace:rushed | slides:13,14,15",3,Pace-Related
do u like travling,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:frustrated | pace:slow | slides:10,11,12",1,Off-Topic Question
im so confusd,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:engaged | pace:fast | slides:23,24,25",2,Emotional-State
not 2day,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:tired | pace:rushed | slides:40,41,42",2,Emotional-State
how many more slides?,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:tired | pace:normal | slides:42,43,44",3,Pace-Related
i need a break,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:anxious | pace:steady | slides:13,14,15",1,Off-Topic Question
cud u explin it diffrent,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:focused | pace:steady | slides:49,50,51",4,Repeat/clarification
i hate mondays,"topic:While Loops | prev:For Loops | ability:N/A | emotion:excited | pace:moderate | slides:26,27,28",1,Off-Topic Question
lets move on,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:overwhelmed | pace:rushed | slides:28,29,30",3,Pace-Related
cant focas,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:overwhelmed | pace:steady | slides:19,20,21",2,Emotional-State
whats goin on w me,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:frustrated | pace:moderate | slides:37,38,39",2,Emotional-State
can u recomend a good book,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:anxious | pace:steady | slides:42,43,44",1,Off-Topic Question
i love tech,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:focused | pace:fast | slides:13,14,15",1,Off-Topic Question
ty for nothin,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:moderate | slides:25,26,27",1,Off-Topic Question
i need it explnd agn,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:tired | pace:fast | slides:25,26,27",4,Repeat/clarification
i dont no wut 2 do,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:frustrated | pace:slow | slides:34,35,36",2,Emotional-State
whats the diff btwn is and ==,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:focused | pace:steady | slides:49,50,51",0,On-Topic Question
how 2 create a threaded program,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:engaged | pace:rushed | slides:4,5,6",0,On-Topic Question
whats the best restaraunt near me,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:bored | pace:rushed | slides:34,35,36",1,Off-Topic Question
can we take a pause?,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:bored | pace:fast | slides:4,5,6",3,Pace-Related
go bak to variables,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:frustrated | pace:rushed | slides:21,22,23",4,Repeat/clarification
i dont get why my loop wont stop,"topic:While Loops | prev:For Loops | ability:N/A | emotion:anxious | pace:dragging | slides:3,4,5",0,On-Topic Question
cant evn,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:frustrated | pace:fast | slides:7,8,9",2,Emotional-State
whats the diff btwn list and tuple,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:bored | pace:dragging | slides:22,23,24",0,On-Topic Question
can we skip the basics?,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:bored | pace:fast | slides:10,11,12",3,Pace-Related
can u help me with my math homework,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:frustrated | pace:fast | slides:34,35,36",1,Off-Topic Question
i love summer,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:confused | pace:rushed | slides:29,30,31",1,Off-Topic Question
how 2 sort dict by value,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:engaged | pace:normal | slides:11,12,13",0,On-Topic Question
whats the best vidoe game,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:anxious | pace:moderate | slides:18,19,20",1,Off-Topic Question
wth is goin on,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:neutral | pace:fast | slides:7,8,9",2,Emotional-State
i cant evn,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:engaged | pace:slow | slides:50,51,52",2,Emotional-State
didnt catch that,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:confused | pace:slow | slides:45,46,47",4,Repeat/clarification
whats the best tv show,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:tired | pace:slow | slides:43,44,45",1,Off-Topic Question
im literally soooo bored,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:overwhelmed | pace:normal | slides:30,31,32",2,Emotional-State
explain loops again,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:neutral | pace:normal | slides:43,44,45",4,Repeat/clarification
im so frustrated wit myself,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:confused | pace:moderate | slides:28,29,30",2,Emotional-State
wat is a decorator,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:neutral | pace:slow | slides:36,37,38",0,On-Topic Question
how 2 create a class in python,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:neutral | pace:rushed | slides:11,12,13",0,On-Topic Question
whats the pt of using self,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:frustrated | pace:dragging | slides:24,25,26",0,On-Topic Question
cn u explain polymorphism,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:frustrated | pace:slow | slides:29,30,31",0,On-Topic Question
i dont get how 2 use super(),"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:overwhelmed | pace:rushed | slides:48,49,50",0,On-Topic Question
wut was that thing u said,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:overwhelmed | pace:normal | slides:31,32,33",4,Repeat/clarification
im dying ovir here,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:overwhelmed | pace:rushed | slides:27,28,29",2,Emotional-State
lets hurry up,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:focused | pace:moderate | slides:10,11,12",3,Pace-Related
whats good on netflix rn,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:engaged | pace:steady | slides:22,23,24",1,Off-Topic Question
so done wit dis assignment,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:overwhelmed | pace:fast | slides:30,31,32",2,Emotional-State
how many slides are left?,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:focused | pace:dragging | slides:13,14,15",3,Pace-Related
whats the best thing to do in the winter,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:focused | pace:normal | slides:19,20,21",1,Off-Topic Question
cn u explain oop concept,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:frustrated | pace:rushed | slides:4,5,6",0,On-Topic Question
whats the best thing to do when ur bord,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:focused | pace:dragging | slides:50,51,52",1,Off-Topic Question
omg dis is 2 much,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:fast | slides:34,35,36",2,Emotional-State
whats the best way to learn a new language,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:confused | pace:slow | slides:21,22,23",1,Off-Topic Question
python is my worst nightmare,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:anxious | pace:dragging | slides:8,9,10",2,Emotional-State
i dont get lambda,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:excited | pace:dragging | slides:3,4,5",0,On-Topic Question
whats goin on?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:moderate | slides:9,10,11",4,Repeat/clarification
how many more examples?,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:confused | pace:slow | slides:35,36,37",3,Pace-Related
pace urself,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:bored | pace:fast | slides:47,48,49",3,Pace-Related
whts lambda func,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:confused | pace:normal | slides:24,25,26",0,On-Topic Question
WHY DOESNT MY CODE WORK,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:focused | pace:fast | slides:11,12,13",0,On-Topic Question
i hate school,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:engaged | pace:moderate | slides:47,48,49",1,Off-Topic Question
did u watch the last epsiode of stranger things??,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:anxious | pace:slow | slides:8,9,10",1,Off-Topic Question
i cant even,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:tired | pace:moderate | slides:25,26,27",2,Emotional-State
omg yaaas,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:tired | pace:rushed | slides:29,30,31",2,Emotional-State
im so tirrd of coding,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:tired | pace:slow | slides:17,18,19",2,Emotional-State
im lost can we slow down?,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:frustrated | pace:dragging | slides:25,26,27",3,Pace-Related
whats the best way to get more followers on tiktok,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:bored | pace:steady | slides:9,10,11",1,Off-Topic Question
whats the best phone to buy,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:focused | pace:fast | slides:36,37,38",1,Off-Topic Question
how much longer?,"topic:While Loops | prev:For Loops | ability:N/A | emotion:excited | pace:dragging | slides:16,17,18",3,Pace-Related
ur going 2 fast,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:focused | pace:steady | slides:19,20,21",3,Pace-Related
im so done,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:excited | pace:steady | slides:28,29,30",2,Emotional-State
i dont get why my code runs forever,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:confused | pace:rushed | slides:29,30,31",0,On-Topic Question
can we go faster now?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:excited | pace:moderate | slides:19,20,21",3,Pace-Related
whats ur fav anime,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:bored | pace:moderate | slides:27,28,29",1,Off-Topic Question
difference btwn = and ==,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:bored | pace:rushed | slides:43,44,45",0,On-Topic Question
cud u explin that agn,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:overwhelmed | pace:normal | slides:48,49,50",4,Repeat/clarification
can we skip to the end?,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:engaged | pace:steady | slides:8,9,10",3,Pace-Related
how 2 sort a list,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:frustrated | pace:rushed | slides:38,39,40",0,On-Topic Question
wat is memoization,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:engaged | pace:moderate | slides:28,29,30",0,On-Topic Question
cud u go ovr that 1 more time,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:overwhelmed | pace:rushed | slides:11,12,13",4,Repeat/clarification
can we skip the python basics?,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:excited | pace:dragging | slides:11,12,13",3,Pace-Related
wat is recursion,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:tired | pace:dragging | slides:11,12,13",0,On-Topic Question
show me how 2 make a graph,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:bored | pace:rushed | slides:42,43,44",0,On-Topic Question
i feel lik im goin 2 cry,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:excited | pace:dragging | slides:16,17,18",2,Emotional-State
wut r we on?,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:confused | pace:moderate | slides:11,12,13",4,Repeat/clarification
cud u start ovr,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:anxious | pace:slow | slides:35,36,37",4,Repeat/clarification
can we go faster?,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:overwhelmed | pace:normal | slides:18,19,20",3,Pace-Related
difference btw static and instance var,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:tired | pace:rushed | slides:46,47,48",0,On-Topic Question
so stresd out,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:overwhelmed | pace:rushed | slides:21,22,23",2,Emotional-State
i keep gettin syntax error,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:anxious | pace:dragging | slides:46,47,48",0,On-Topic Question
next one pls,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:confused | pace:fast | slides:49,50,51",3,Pace-Related
do u like football,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:overwhelmed | pace:moderate | slides:42,43,44",1,Off-Topic Question
Functions r hard,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:overwhelmed | pace:normal | slides:34,35,36",2,Emotional-State
can u go bak to functions,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:bored | pace:fast | slides:17,18,19",4,Repeat/clarification
can we hurry?,"topic:While Loops | prev:For Loops | ability:N/A | emotion:excited | pace:normal | slides:21,22,23",3,Pace-Related
whats the best thing to do on a sunday,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:bored | pace:rushed | slides:50,51,52",1,Off-Topic Question
can we move on to variables?,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:frustrated | pace:slow | slides:21,22,23",3,Pace-Related
im bord,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:normal | slides:31,32,33",1,Off-Topic Question
HOW DO I USE RECURSION,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:overwhelmed | pace:normal | slides:17,18,19",0,On-Topic Question
hold up,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:confused | pace:normal | slides:33,34,35",3,Pace-Related
show me how 2 create a db,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:bored | pace:moderate | slides:15,16,17",0,On-Topic Question
im literally dead,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:neutral | pace:slow | slides:41,42,43",2,Emotional-State
HOW DO I USE GLOBAL VARIABLE,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:excited | pace:dragging | slides:15,16,17",0,On-Topic Question
can we take a breather?,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:focused | pace:dragging | slides:4,5,6",3,Pace-Related
too slow,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:confused | pace:steady | slides:50,51,52",3,Pace-Related
whats the best author,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:focused | pace:moderate | slides:4,5,6",1,Off-Topic Question
cn u help me w/ this code,"topic:While Loops | prev:For Loops | ability:N/A | emotion:overwhelmed | pace:normal | slides:24,25,26",0,On-Topic Question
come again?,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:engaged | pace:dragging | slides:20,21,22",4,Repeat/clarification
whats poppin,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:anxious | pace:rushed | slides:50,51,52",1,Off-Topic Question
whats the best console to buy,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:engaged | pace:normal | slides:46,47,48",1,Off-Topic Question
huh??,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:excited | pace:moderate | slides:20,21,22",4,Repeat/clarification
whats the use of yield,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:neutral | pace:steady | slides:34,35,36",0,On-Topic Question
skip this slide,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:confused | pace:moderate | slides:44,45,46",3,Pace-Related
wut r u talkin bout,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:bored | pace:rushed | slides:46,47,48",4,Repeat/clarification
expln try/except,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:engaged | pace:fast | slides:16,17,18",0,On-Topic Question
idk how 2 feel,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:anxious | pace:slow | slides:20,21,22",2,Emotional-State
im hungry,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:engaged | pace:steady | slides:8,9,10",1,Off-Topic Question
im on the verge of tears,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:excited | pace:steady | slides:10,11,12",2,Emotional-State
i dont get it,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:excited | pace:rushed | slides:25,26,27",4,Repeat/clarification
can we go thru this quicker?,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:neutral | pace:rushed | slides:23,24,25",3,Pace-Related
cud u re-do that example,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:tired | pace:slow | slides:23,24,25",4,Repeat/clarification
WHO WON THE SUPERBOWL??,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:focused | pace:slow | slides:45,46,47",1,Off-Topic Question
slow it down a notch,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:steady | slides:12,13,14",3,Pace-Related
i love reading,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:focused | pace:steady | slides:5,6,7",1,Off-Topic Question
cn u show me how 2 use filter(),"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:engaged | pace:steady | slides:9,10,11",0,On-Topic Question
cn u show me how 2 use map(),"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:focused | pace:steady | slides:47,48,49",0,On-Topic Question
feelin meh,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:confused | pace:steady | slides:43,44,45",2,Emotional-State
do u like video games,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:anxious | pace:moderate | slides:25,26,27",1,Off-Topic Question
whats the best team,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:tired | pace:rushed | slides:15,16,17",1,Off-Topic Question
say that 1 more time,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:confused | pace:dragging | slides:45,46,47",4,Repeat/clarification
i didnt undeerstand,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:overwhelmed | pace:moderate | slides:36,37,38",4,Repeat/clarification
i need a new job,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:bored | pace:dragging | slides:16,17,18",1,Off-Topic Question
HOW DO I DEBUG,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:tired | pace:dragging | slides:15,16,17",0,On-Topic Question
can u explain inheritance,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:bored | pace:normal | slides:41,42,43",0,On-Topic Question
what r u doin 2day,"topic:While Loops | prev:For Loops | ability:N/A | emotion:bored | pace:moderate | slides:28,29,30",1,Off-Topic Question
i missed that part,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:excited | pace:slow | slides:23,24,25",4,Repeat/clarification
i cant even right now,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:excited | pace:steady | slides:29,30,31",2,Emotional-State
why doesnt my func return anything,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:engaged | pace:rushed | slides:18,19,20",0,On-Topic Question
can we skip the intro?,"topic:Sets | prev:Dictionaries | ability:N/A | emotion:excited | pace:fast | slides:5,6,7",3,Pace-Related
whats the best way to make money online,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:tired | pace:dragging | slides:37,38,39",1,Off-Topic Question
i was distracted,"topic:While Loops | prev:For Loops | ability:N/A | emotion:engaged | pace:normal | slides:6,7,8",4,Repeat/clarification
im literally dyin over here,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:excited | pace:rushed | slides:28,29,30",2,Emotional-State
wut r the basics of python,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:anxious | pace:fast | slides:18,19,20",4,Repeat/clarification
say it slower,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:frustrated | pace:moderate | slides:43,44,45",4,Repeat/clarification
whats the best music genre,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:excited | pace:moderate | slides:48,49,50",1,Off-Topic Question
whats the best fast food,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:confused | pace:steady | slides:40,41,42",1,Off-Topic Question
soooo bored,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:frustrated | pace:normal | slides:32,33,34",2,Emotional-State
do u like pineapple pizza??,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:neutral | pace:fast | slides:27,28,29",1,Off-Topic Question
lol wut?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:fast | slides:34,35,36",4,Repeat/clarification
skip to the python functions,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:slow | slides:37,38,39",3,Pace-Related
say it agn,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:confused | pace:slow | slides:21,22,23",4,Repeat/clarification
