student_input,session_context,label,intent_name
ii feel so ddumb,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:74%,Boolean Logic:33%,If/Else Conditionals:78% | emotion:neutral | pace:slow | slides:19,20,21",2,Emotional-State
i hate this,,2,Emotional-State
Can we pick up the pace?,,3,Pace-Related
is for loops used  alo tin real projects?,,0,On-Topic Question
Go back to that last point please.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:74%,Arithmetic Operators:76%,Boolean Logic:42% | emotion:engaged | pace:normal | slides:22,23,24",4,Repeat/clarification
"confused, i'm i feel so dumb right now.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:66%,If/Else Conditionals:65%,For Loops:76% | emotion:confused | pace:fast | slides:18,19,20",2,Emotional-State
yo what,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:78%,Strings&Formatting:73%,Arithmetic Operators:96% | emotion:confused | pace:dragging | slides:23,24,25",2,Emotional-State
When will we cover Functions and Scope?,,1,Off-Topic Question
How long until we get to Sets?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:34%,Boolean Logic:49%,If/Else Conditionals:50% | emotion:tired | pace:rushed | slides:58,59,60",1,Off-Topic Question
Is Error Handling (Try/Except) related to what we are doing now?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:47%,Dictionaries:96%,Sets:83% | emotion:tired | pace:steady | slides:14,15,16",1,Off-Topic Question
I need to hear that explanation again.,,4,Repeat/clarification
Is Classes and OOP related to what we are doing now?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:83%,Functions&Scope:51%,Lambda Functions:64% | emotion:overwhelmed | pace:fast | slides:59,60,61",1,Off-Topic Question
too fast bro,,3,Pace-Related
I feel like I'm not making any progress.,,2,Emotional-State
SKIP AHEAD PLEASE.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:39%,Lists&Tuples:100%,Dictionaries:50% | emotion:bored | pace:normal | slides:18,19,20",3,Pace-Related
I'm lost,,2,Emotional-State
wait go back?,,3,Pace-Related
I feel completely stuck and confused.,,2,Emotional-State
what was the last thing u said!!,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:91%,If/Else Conditionals:60%,For Loops:48% | emotion:anxious | pace:slow | slides:28,29,30",4,Repeat/clarification
can u do my math?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:34%,If/Else Conditionals:94%,For Loops:99% | emotion:tired | pace:slow | slides:17,18,19",1,Off-Topic Question
i hate this,,2,Emotional-State
can u repeat,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:72%,Functions&Scope:89%,Lambda Functions:65% | emotion:overwhelmed | pace:moderate | slides:43,44,45",4,Repeat/clarification
When will we cover Lists and Tuples?,,1,Off-Topic Question
pause,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:59%,Lambda Functions:58%,Error Handling:62% | emotion:confused | pace:dragging | slides:14,15,16",3,Pace-Related
bruh,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:98%,Boolean Logic:41%,If/Else Conditionals:58% | emotion:overwhelmed | pace:normal | slides:39,40,41",2,Emotional-State
what was that,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:45% | emotion:bored | pace:dragging | slides:23,24,25",4,Repeat/clarification
How long we get to If/Else Conditionals?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:67% | emotion:tired | pace:normal | slides:36,37,38",1,Off-Topic Question
?,,4,Repeat/clarification
When will we cover Lists and Tuples?,,1,Off-Topic Question
didn't get that,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:rushed | slides:44,45,46",4,Repeat/clarification
"I saw someone using Functions and Scope, what does it do?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:78%,If/Else Conditionals:55%,For Loops:45% | emotion:focused | pace:fast | slides:30,31,32",1,Off-Topic Question
run that back,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:60%,Functions&Scope:48%,Lambda Functions:65% | emotion:neutral | pace:slow | slides:30,31,32",4,Repeat/clarification
Skip please. ahead,,3,Pace-Related
give me the answers,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:66%,Strings&Formatting:97% | emotion:overwhelmed | pace:rushed | slides:13,14,15",1,Off-Topic Question
whats the syntax,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:80%,If/Else Conditionals:78%,For Loops:98% | emotion:excited | pace:normal | slides:18,19,20",0,On-Topic Question
Where does Error Handling (Try/Except) fit in a larger program,,0,On-Topic Question
why use Lambda Functions?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:45%,Sets:37%,Functions&Scope:93% | emotion:confused | pace:rushed | slides:48,49,50",0,On-Topic Question
can u repeat,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:91%,Lists&Tuples:83%,Dictionaries:76% | emotion:frustrated | pace:normal | slides:11,12,13",4,Repeat/clarification
"Give me a sec, I'm still processing.","topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:moderate | slides:59,60,61",3,Pace-Related
Go baack to that last point please.,,4,Repeat/clarification
let's goooo,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:89%,Lambda Functions:67%,Error Handling:99% | emotion:engaged | pace:slow | slides:10,11,12",2,Emotional-State
actually say that one more time,,4,Repeat/clarification
THIS IS REALLY STARTING TO MAKE SENSE!,,2,Emotional-State
"I SAW SOMEONE USING SETS, WHAT DOES IT DO","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:61%,If/Else Conditionals:65%,For Loops:33% | emotion:engaged | pace:normal | slides:30,31,32",1,Off-Topic Question
"I understood Strings and Formatting but Arithmetic Operators feels completely different, why?",,0,On-Topic Question
have I no idea what's goign on.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:67%,Sets:34%,Functions&Scope:55% | emotion:overwhelmed | pace:rushed | slides:49,50,51",2,Emotional-State
Do we need to know about Lambda Functions?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:62%,If/Else Conditionals:94%,For Loops:96% | emotion:focused | pace:moderate | slides:15,16,17",1,Off-Topic Question
can you say that again,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:95%,If/Else Conditionals:96%,For Loops:72% | emotion:overwhelmed | pace:moderate | slides:51,52,53",4,Repeat/clarification
sorry what,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:66%,Sets:91%,Functions&Scope:83% | emotion:anxious | pace:dragging | slides:45,46,47",4,Repeat/clarification
sing me a song,,1,Off-Topic Question
Can we pick up the pace?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:99%,Arithmetic Operators:96%,Boolean Logic:94% | emotion:excited | pace:normal | slides:59,60,61",3,Pace-Related
When will we cover Classes and OOP,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:80%,Sets:54%,Functions&Scope:97% | emotion:confused | pace:normal | slides:49,50,51",1,Off-Topic Question
well sup,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:98%,For Loops:93%,While Loops:80% | emotion:bored | pace:fast | slides:14,15,16",1,Off-Topic Question
Is problem Handling (Try/Except) related to what we are doing now?,,1,Off-Topic Question
ok so didn't get that,,4,Repeat/clarification
Is If/Else Conditionals related to what we are doing now?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:90% | emotion:engaged | pace:rushed | slides:32,33,34",1,Off-Topic Question
What's the point of For Loops?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:59%,Boolean Logic:64%,If/Else Conditionals:43% | emotion:engaged | pace:fast | slides:32,33,34",0,On-Topic Question
what's the difference,,0,On-Topic Question
what did i miss,,4,Repeat/clarification
pause,,3,Pace-Related
I'm so sleepy right now.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:82%,Lists&Tuples:81%,Dictionaries:88% | emotion:focused | pace:fast | slides:52,53,54",2,Emotional-State
hello,,1,Off-Topic Question
i need a minute,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:88% | emotion:engaged | pace:dragging | slides:32,33,34",3,Pace-Related
well pardon?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:34%,Lambda Functions:84%,Error Handling:94% | emotion:bored | pace:rushed | slides:55,56,57",4,Repeat/clarification
omg it works,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:64%,Error Handling:82%,Classes&OOP:31% | emotion:confused | pace:steady | slides:35,36,37",2,Emotional-State
hold on,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:89%,Strings&Formatting:41%,Arithmetic Operators:72% | emotion:overwhelmed | pace:normal | slides:28,29,30",3,Pace-Related
what?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:moderate | slides:21,22,23",4,Repeat/clarification
i eel complttely stuk and confuse,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:59%,While Loops:91%,Lists&Tuples:51% | emotion:tired | pace:fast | slides:56,57,58",2,Emotional-State
Is Functions and Scope related to what we are doing now?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:35%,Lists&Tuples:86%,Dictionaries:85% | emotion:neutral | pace:steady | slides:11,12,13",1,Off-Topic Question
Do we need to know about Functions and Scope?,,1,Off-Topic Question
why use Striinsg and oFrmatting,,0,On-Topic Question
Can you help me with my math homework?,,1,Off-Topic Question
Huh? Can you repeat?,,4,Repeat/clarification
can you write an essay for me,,1,Off-Topic Question
sing me a song,,1,Off-Topic Question
like yay i did it,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:34%,Arithmetic Operators:36%,Boolean Logic:43% | emotion:excited | pace:normal | slides:29,30,31",2,Emotional-State
like Tell me more about Lists and Tuples,,0,On-Topic Question
can we talk about something else,,1,Off-Topic Question
Huh? Can you repeat?,,4,Repeat/clarification
one sec?,,3,Pace-Related
what does this line do,,0,On-Topic Question
??,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:35%,Boolean Logic:39%,If/Else Conditionals:82% | emotion:confused | pace:slow | slides:52,53,54",4,Repeat/clarification
"Please slow down, I can't keep up.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:35%,Strings&Formatting:30% | emotion:engaged | pace:normal | slides:54,55,56",3,Pace-Related
Do we need to know about Lists and Tuples,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:65% | emotion:neutral | pace:dragging | slides:7,8,9",1,Off-Topic Question
slow tf down,,3,Pace-Related
help me with my homework,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:34%,While Loops:35%,Lists&Tuples:92% | emotion:focused | pace:dragging | slides:40,41,42",1,Off-Topic Question
can you explain this simply,,0,On-Topic Question
help me fix this,,0,On-Topic Question
what's the differeence!!,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:55%,Error Handling:52%,Classes&OOP:74% | emotion:confused | pace:moderate | slides:59,60,61",0,On-Topic Question
lowkey confused,,2,Emotional-State
lost u there,,4,Repeat/clarification
"I LOVE CODING, THIS IS FUN!",,2,Emotional-State
This is really starting to make sense!!,,2,Emotional-State
rewind?,,4,Repeat/clarification
"slow down, i'm still on the last example.",,3,Pace-Related
a wait minute,,3,Pace-Related
bruh,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:54%,Boolean Logic:61%,If/Else Conditionals:92% | emotion:anxious | pace:slow | slides:58,59,60",2,Emotional-State
I need to haer that epxlantion again.,,4,Repeat/clarification
i don't understand the example,,0,On-Topic Question
i wasn't listening,,4,Repeat/clarification
bruh,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:87%,Sets:71%,Functions&Scope:95% | emotion:bored | pace:slow | slides:15,16,17",2,Emotional-State
When we cvoer Classes nad OOP?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:54%,Dictionaries:50%,Sets:33% | emotion:frustrated | pace:moderate | slides:27,28,29",1,Off-Topic Question
actually this sucks,,2,Emotional-State
im hungry,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:41%,Error Handling:60%,Classes&OOP:49% | emotion:frustrated | pace:slow | slides:43,44,45",1,Off-Topic Question
i missed the last ppaatr,,4,Repeat/clarification
can u repeat,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:slow | slides:11,12,13",4,Repeat/clarification
too slow,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:steady | slides:28,29,30",3,Pace-Related
what happened?,,4,Repeat/clarification
what was the last thing u said,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:79%,Lists&Tuples:86%,Dictionaries:40% | emotion:anxious | pace:slow | slides:53,54,55",4,Repeat/clarification
i didnt catch that,,4,Repeat/clarification
this is fun,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:39%,Strings&Formatting:37% | emotion:frustrated | pace:rushed | slides:15,16,17",2,Emotional-State
is there another way to do this?,,0,On-Topic Question
didn't get that,,4,Repeat/clarification
pardon?,,4,Repeat/clarification
how does that work?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:60%,Arithmetic Operators:89%,Boolean Logic:87% | emotion:tired | pace:moderate | slides:56,57,58",0,On-Topic Question
Go back to that last point please.,,4,Repeat/clarification
honestly yay i did it,,2,Emotional-State
wait what?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:84%,Functions&Scope:50%,Lambda Functions:86% | emotion:focused | pace:steady | slides:20,21,22",4,Repeat/clarification
This is really starting t makee sensse!,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:74%,While Loops:80%,Lists&Tuples:54% | emotion:excited | pace:rushed | slides:4,5,6",2,Emotional-State
one sec,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:89%,For Loops:82%,While Loops:35% | emotion:bored | pace:fast | slides:37,38,39",3,Pace-Related
I'm so sleepy right now.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:46%,Strings&Formatting:35%,Arithmetic Operators:84% | emotion:tired | pace:steady | slides:34,35,36",2,Emotional-State
i quit,,2,Emotional-State
i love coding,,2,Emotional-State
one sec?,,3,Pace-Related
ok so I have no idea what's going on.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:78%,Dictionaries:61%,Sets:43% | emotion:neutral | pace:normal | slides:46,47,48",2,Emotional-State
What if fail?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:94% | emotion:excited | pace:moderate | slides:10,11,12",2,Emotional-State
"I understood If/Else Conditionals but While Loops feels completely different, why?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:34%,If/Else Conditionals:53%,For Loops:69% | emotion:excited | pace:rushed | slides:48,49,50",0,On-Topic Question
huh,,4,Repeat/clarification
hello,,1,Off-Topic Question
can we skip this?,,3,Pace-Related
what's your iq,,1,Off-Topic Question
When will we cover Classes and OOP?,,1,Off-Topic Question
Where does Lists and Tuples fit in a larger program?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:61%,While Loops:37% | emotion:tired | pace:moderate | slides:17,18,19",0,On-Topic Question
pause,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:36%,Strings&Formatting:84%,Arithmetic Operators:59% | emotion:engaged | pace:fast | slides:43,44,45",3,Pace-Related
skip to the next part,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:58%,Lists&Tuples:41%,Dictionaries:90% | emotion:focused | pace:moderate | slides:50,51,52",3,Pace-Related
what happened?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:62%,Strings&Formatting:77%,Arithmetic Operators:44% | emotion:bored | pace:rushed | slides:9,10,11",4,Repeat/clarification
one more time,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:86%,Strings&Formatting:79%,Arithmetic Operators:32% | emotion:frustrated | pace:steady | slides:59,60,61",4,Repeat/clarification
i missed the last part,,4,Repeat/clarification
What if I fail?,,2,Emotional-State
I feel anxious about faling behind.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:100%,Error Handling:46%,Classes&OOP:50% | emotion:overwhelmed | pace:steady | slides:56,57,58",2,Emotional-State
