student_input,session_context,label,intent_name
"Sorry, I zoned out. What did you just say?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:86%,Lists&Tuples:60% | emotion:focused | pace:slow | slides:41,42,43",4,Repeat/clarification
who is the president of the united states?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:40%,Error Handling:33%,Classes&OOP:94% | emotion:engaged | pace:dragging | slides:42,43,44",1,Off-Topic Question
"I didn't follow, please say it again.","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:60%,Error Handling:51%,Classes&OOP:84% | emotion:confused | pace:fast | slides:21,22,23",4,Repeat/clarification
I feel so good about this now.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:57%,Error Handling:82%,Classes&OOP:96% | emotion:engaged | pace:moderate | slides:31,32,33",2,Emotional-State
what were the key points of that last section?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:42% | emotion:focused | pace:fast | slides:34,35,36",4,Repeat/clarification
"II aw smeone unig Classes aand OOP, waht does it do?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:96%,Boolean Logic:60%,If/Else Conditionals:37% | emotion:overwhelmed | pace:dragging | slides:40,41,42",1,Off-Topic Question
How do I cook pasta?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:97%,Arithmetic Operators:62%,Boolean Logic:53% | emotion:tired | pace:slow | slides:56,57,58",1,Off-Topic Question
What happens if I forget to close the bracket in If/Else Conditionals,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:64%,Arithmetic Operators:32%,Boolean Logic:55% | emotion:excited | pace:fast | slides:5,6,7",0,On-Topic Question
This is making angry. me,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:31% | emotion:confused | pace:normal | slides:24,25,26",2,Emotional-State
This is getting boring.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:57%,If/Else Conditionals:33%,For Loops:75% | emotion:excited | pace:dragging | slides:52,53,54",2,Emotional-State
feel so god abbuot this now.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:33%,Dictionaries:95%,Sets:68% | emotion:anxious | pace:normal | slides:36,37,38",2,Emotional-State
How is Functions and Scope different from the topic?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:97%,Dictionaries:42%,Sets:86% | emotion:excited | pace:fast | slides:21,22,23",0,On-Topic Question
"I lost you there, can you start over on that point?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:99%,For Loops:89%,While Loops:51% | emotion:tired | pace:rushed | slides:24,25,26",4,Repeat/clarification
"You said I scored low on Strings and Formatting, does that affect how I should approach Arithmetic Operators?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:44%,Strings&Formatting:49% | emotion:tired | pace:rushed | slides:35,36,37",0,On-Topic Question
ok so Help me with File Handling?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:74%,Error Handling:98%,Classes&OOP:54% | emotion:confused | pace:dragging | slides:9,10,11",0,On-Topic Question
This is so confusing it hurts.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:64%,Functions&Scope:66%,Lambda Functions:55% | emotion:anxious | pace:steady | slides:42,43,44",2,Emotional-State
can you debug this classes and oop example with me?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:88%,Lambda Functions:79%,Error Handling:97% | emotion:focused | pace:dragging | slides:11,12,13",0,On-Topic Question
I don't anything. understand,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:56%,For Loops:49%,While Loops:63% | emotion:neutral | pace:rushed | slides:36,37,38",2,Emotional-State
Will While Loops on be the exam?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:52% | emotion:frustrated | pace:dragging | slides:20,21,22",1,Off-Topic Question
Why do we need Dictionaries?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:45%,While Loops:49%,Lists&Tuples:90% | emotion:excited | pace:fast | slides:48,49,50",0,On-Topic Question
"slow down, i'm still on the last example.","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:53%,Sets:87%,Functions&Scope:90% | emotion:tired | pace:rushed | slides:22,23,24",3,Pace-Related
Can we slow down a bit?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:98%,Functions&Scope:51%,Lambda Functions:35% | emotion:anxious | pace:rushed | slides:9,10,11",3,Pace-Related
This is getting exciting!,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:67%,Strings&Formatting:44%,Arithmetic Operators:71% | emotion:neutral | pace:dragging | slides:34,35,36",2,Emotional-State
Can you give me a real-world example of Sets?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:76%,Lists&Tuples:96%,Dictionaries:54% | emotion:excited | pace:normal | slides:4,5,6",0,On-Topic Question
I am ready to tackle the next challenge!,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:61%,Sets:32%,Functions&Scope:61% | emotion:tired | pace:steady | slides:9,10,11",2,Emotional-State
Do we need to know about Error Handling (Try/Except)?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:81%,Dictionaries:50%,Sets:31% | emotion:tired | pace:rushed | slides:6,7,8",1,Off-Topic Question
Say that again?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:slow | slides:49,50,51",4,Repeat/clarification
"I already know this, can we move on?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:71%,Lists&Tuples:72%,Dictionaries:36% | emotion:excited | pace:dragging | slides:41,42,43",3,Pace-Related
Why is this so hard?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:92% | emotion:engaged | pace:moderate | slides:26,27,28",2,Emotional-State
Can you debug this While Loops example with me?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:32%,If/Else Conditionals:46%,For Loops:46% | emotion:overwhelmed | pace:moderate | slides:11,12,13",0,On-Topic Question
Can you give me a real-world instance of Classes and OOP?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:95%,Lambda Functions:46%,Error Handling:69% | emotion:frustrated | pace:rushed | slides:45,46,47",0,On-Topic Question
Are we goign to learn aobut Dictionaries oson?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:42%,Arithmetic Operators:94%,Boolean Logic:95% | emotion:bored | pace:slow | slides:23,24,25",1,Off-Topic Question
Skip ahead please.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:45%,Error Handling:81%,Classes&OOP:79% | emotion:confused | pace:moderate | slides:9,10,11",3,Pace-Related
I'm having a great time learning this?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:65%,Dictionaries:44%,Sets:73% | emotion:confused | pace:slow | slides:7,8,9",2,Emotional-State
I HAVE NO IDEA WHAT'S GOING ON.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:33%,If/Else Conditionals:79%,For Loops:48% | emotion:frustrated | pace:dragging | slides:30,31,32",2,Emotional-State
Can you recommend a good movie to watch?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:30%,Dictionaries:39%,Sets:38% | emotion:overwhelmed | pace:moderate | slides:35,36,37",1,Off-Topic Question
Can you show that example one more time?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:53%,Boolean Logic:52%,If/Else Conditionals:76% | emotion:bored | pace:dragging | slides:39,40,41",4,Repeat/clarification
What's the point of File Handling?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:51%,Error Handling:96%,Classes&OOP:40% | emotion:focused | pace:moderate | slides:8,9,10",0,On-Topic Question
Can you summarize what you explained?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:38%,Boolean Logic:92%,If/Else Conditionals:43% | emotion:excited | pace:moderate | slides:51,52,53",4,Repeat/clarification
Why is Sets giving me a syntax error?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:70%,Lists&Tuples:98%,Dictionaries:58% | emotion:excited | pace:dragging | slides:34,35,36",0,On-Topic Question
I'm losing patience.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:76%,Boolean Logic:45%,If/Else Conditionals:39% | emotion:overwhelmed | pace:moderate | slides:40,41,42",2,Emotional-State
I am ready to tackle the next challenge!,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:78% | emotion:anxious | pace:rushed | slides:35,36,37",2,Emotional-State
bically Can we skip this?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:78%,Arithmetic Operators:66%,Boolean Logic:44% | emotion:overwhelmed | pace:fast | slides:8,9,10",3,Pace-Related
why is this so hard?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:35%,Dictionaries:40%,Sets:76% | emotion:engaged | pace:moderate | slides:51,52,53",2,Emotional-State
Can we skip this?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:47%,Lists&Tuples:100%,Dictionaries:80% | emotion:frustrated | pace:fast | slides:16,17,18",3,Pace-Related
Why do we need Lists and Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:67%,For Loops:82%,While Loops:67% | emotion:bored | pace:dragging | slides:22,23,24",0,On-Topic Question
Do you watch Netflix?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:66%,Sets:33%,Functions&Scope:57% | emotion:tired | pace:dragging | slides:19,20,21",1,Off-Topic Question
"SINCE I DID WELL ON VARIABLES AND DATA TYPES, IS STRINGS AND FORMATTING GOING TO BE SIMILAR?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:54% | emotion:overwhelmed | pace:dragging | slides:20,21,22",0,On-Topic Question
How does Variables and Data Types relate to Boolean Logic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:84%,Strings&Formatting:50%,Arithmetic Operators:44% | emotion:tired | pace:fast | slides:5,6,7",0,On-Topic Question
My brain is fried.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:68%,Lambda Functions:68%,Error Handling:32% | emotion:engaged | pace:fast | slides:51,52,53",2,Emotional-State
What happens if I forget to close the bracket in While Loops?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:86%,If/Else Conditionals:74%,For Loops:90% | emotion:confused | pace:slow | slides:38,39,40",0,On-Topic Question
I have no idea what's going on!!,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:75%,For Loops:48%,While Loops:72% | emotion:confused | pace:steady | slides:33,34,35",2,Emotional-State
Will Lists and Tuples be on the exam?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:58%,If/Else Conditionals:67%,For Loops:53% | emotion:engaged | pace:moderate | slides:22,23,24",1,Off-Topic Question
I need more time to process this.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:73%,Arithmetic Operators:64%,Boolean Logic:32% | emotion:overwhelmed | pace:slow | slides:22,23,24",3,Pace-Related
What did you mean when you said Lambda Functions works like that?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:39%,Sets:86%,Functions&Scope:63% | emotion:excited | pace:fast | slides:58,59,60",0,On-Topic Question
How much time do we have left,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:69%,Arithmetic Operators:66%,Boolean Logic:60% | emotion:neutral | pace:steady | slides:56,57,58",3,Pace-Related
Can we take break?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:55%,Boolean Logic:77%,If/Else Conditionals:55% | emotion:neutral | pace:steady | slides:8,9,10",3,Pace-Related
like Can we take a break?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:31%,Lambda Functions:54%,Error Handling:57% | emotion:confused | pace:rushed | slides:11,12,13",3,Pace-Related
Nothing makes sense to me,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:95%,Boolean Logic:53%,If/Else Conditionals:87% | emotion:overwhelmed | pace:slow | slides:8,9,10",2,Emotional-State
how does file handling work in python?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:rushed | slides:21,22,23",1,Off-Topic Question
can we do something more interesting?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:66%,Boolean Logic:78%,If/Else Conditionals:64% | emotion:overwhelmed | pace:normal | slides:59,60,61",2,Emotional-State
Could you run through the explanation one more time?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:57%,Functions&Scope:64%,Lambda Functions:81% | emotion:bored | pace:steady | slides:26,27,28",4,Repeat/clarification
i need you to repeat the definition!!,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:85%,Arithmetic Operators:51%,Boolean Logic:62% | emotion:neutral | pace:dragging | slides:14,15,16",4,Repeat/clarification
"I saw someone using Classes and OOP, what does it do?","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:36%,Sets:55%,Functions&Scope:40% | emotion:anxious | pace:slow | slides:36,37,38",1,Off-Topic Question
Are we going to learn about File Handling soon?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:73%,Lambda Functions:36%,Error Handling:37% | emotion:anxious | pace:dragging | slides:12,13,14",1,Off-Topic Question
Can we pick up the pace?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:64%,Strings&Formatting:51%,Arithmetic Operators:85% | emotion:overwhelmed | pace:normal | slides:58,59,60",3,Pace-Related
"I HEARD ABOUT FUNCTIONS AND SCOPE, CAN YOU EXPLAIN IT TO ME?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:30% | emotion:anxious | pace:normal | slides:8,9,10",1,Off-Topic Question
What's the meaning of life?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:34%,Functions&Scope:77%,Lambda Functions:93% | emotion:excited | pace:slow | slides:45,46,47",1,Off-Topic Question
can you go deeepeer into lists and tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:99%,For Loops:70%,While Loops:75% | emotion:frustrated | pace:normal | slides:41,42,43",0,On-Topic Question
I'm lost.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:49%,Strings&Formatting:92% | emotion:engaged | pace:moderate | slides:4,5,6",2,Emotional-State
Let's move on to the next topic.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:84%,Strings&Formatting:37%,Arithmetic Operators:97% | emotion:neutral | pace:fast | slides:45,46,47",3,Pace-Related
Could you run through the one explanation more time?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:33%,Arithmetic Operators:48%,Boolean Logic:90% | emotion:bored | pace:moderate | slides:21,22,23",4,Repeat/clarification
I am so frustrated right now.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:47% | emotion:bored | pace:rushed | slides:31,32,33",2,Emotional-State
I feel like I'm not making any progress.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:41% | emotion:overwhelmed | pace:slow | slides:35,36,37",2,Emotional-State
I need more time to process this.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:35%,Error Handling:89%,Classes&OOP:62% | emotion:focused | pace:dragging | slides:6,7,8",3,Pace-Related
"My code for Variables and Data Types isn't working, can you help?","topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:moderate | slides:49,50,51",0,On-Topic Question
Can you go back to the previous slide for a second?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:64%,Strings&Formatting:31%,Arithmetic Operators:71% | emotion:focused | pace:normal | slides:37,38,39",4,Repeat/clarification
I feel like up.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:52%,Sets:98%,Functions&Scope:93% | emotion:neutral | pace:slow | slides:27,28,29",2,Emotional-State
I am ready to tackle the next challenge!,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:67%,Functions&Scope:90%,Lambda Functions:59% | emotion:bored | pace:normal | slides:18,19,20",2,Emotional-State
How do I cook pasta?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:85% | emotion:bored | pace:slow | slides:6,7,8",1,Off-Topic Question
Can we skip ahead to Classes and OOP?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:75%,Dictionaries:44%,Sets:38% | emotion:focused | pace:fast | slides:49,50,51",1,Off-Topic Question
"I already know a bit about File Handling, can we jump to it?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:42%,Arithmetic Operators:82%,Boolean Logic:98% | emotion:neutral | pace:normal | slides:54,55,56",1,Off-Topic Question
I need you to repeat the definition.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:72%,Lambda Functions:68%,Error Handling:48% | emotion:engaged | pace:slow | slides:31,32,33",4,Repeat/clarification
Will For Loops be on the exam?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:64%,Strings&Formatting:60% | emotion:tired | pace:rushed | slides:4,5,6",1,Off-Topic Question
I need a 5 minute break?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:45%,Strings&Formatting:83%,Arithmetic Operators:40% | emotion:engaged | pace:steady | slides:59,60,61",3,Pace-Related
I feel stupid for not getting this.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:62%,Boolean Logic:84%,If/Else Conditionals:57% | emotion:confused | pace:rushed | slides:59,60,61",2,Emotional-State
next topic please,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:59%,Boolean Logic:62%,If/Else Conditionals:73% | emotion:overwhelmed | pace:steady | slides:54,55,56",3,Pace-Related
Nothing makes sense to me.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:74%,Dictionaries:96%,Sets:100% | emotion:confused | pace:moderate | slides:15,16,17",2,Emotional-State
Can you wait a second before moving to the next slide!!,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:52%,Functions&Scope:74%,Lambda Functions:67% | emotion:frustrated | pace:rushed | slides:45,46,47",3,Pace-Related
"Wow, I finally get it!","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:54%,Strings&Formatting:87%,Arithmetic Operators:52% | emotion:frustrated | pace:dragging | slides:43,44,45",2,Emotional-State
can you repeat that last part,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:66%,Dictionaries:52%,Sets:98% | emotion:excited | pace:normal | slides:41,42,43",4,Repeat/clarification
how much does a new car cost?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:62%,Functions&Scope:57%,Lambda Functions:88% | emotion:confused | pace:fast | slides:43,44,45",1,Off-Topic Question
I'm nervous about the upcoming test.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:40%,Functions&Scope:57%,Lambda Functions:33% | emotion:overwhelmed | pace:dragging | slides:26,27,28",2,Emotional-State
What was the syntax you just showed?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:50%,Lambda Functions:36%,Error Handling:49% | emotion:excited | pace:steady | slides:6,7,8",4,Repeat/clarification
Are we going to learn about Functions and Scope soon?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:52%,While Loops:78%,Lists&Tuples:55% | emotion:overwhelmed | pace:normal | slides:32,33,34",1,Off-Topic Question
Don't rush this through please.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:65%,If/Else Conditionals:61%,For Loops:58% | emotion:confused | pace:slow | slides:48,49,50",3,Pace-Related
so I am ready to tackle the next challenge?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:62%,Error Handling:62%,Classes&OOP:55% | emotion:overwhelmed | pace:rushed | slides:18,19,20",2,Emotional-State
What was the output of that code again?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:70%,Lambda Functions:91%,Error Handling:52% | emotion:confused | pace:rushed | slides:49,50,51",4,Repeat/clarification
Do we need to know about Error Handling (Try/Except)?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:34%,Sets:96%,Functions&Scope:89% | emotion:overwhelmed | pace:slow | slides:39,40,41",1,Off-Topic Question
can you re-runn that sample?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:66%,Strings&Formatting:74%,Arithmetic Operators:56% | emotion:bored | pace:fast | slides:14,15,16",4,Repeat/clarification
right What is Dictionaries exactly?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:47%,If/Else Conditionals:76%,For Loops:32% | emotion:confused | pace:steady | slides:12,13,14",1,Off-Topic Question
Can you go back to the previous slide for a second?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:100%,Arithmetic Operators:49%,Boolean Logic:59% | emotion:frustrated | pace:fast | slides:14,15,16",4,Repeat/clarification
WHAT'S THE WEATHER LIKE TODAY?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:60%,Lambda Functions:58%,Error Handling:74% | emotion:bored | pace:normal | slides:38,39,40",1,Off-Topic Question
"I didn't understand, please say it again.","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:42%,Error Handling:77%,Classes&OOP:64% | emotion:excited | pace:moderate | slides:18,19,20",4,Repeat/clarification
Can you wait a second before moving to the next slide?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:32%,Lambda Functions:95%,Error Handling:66% | emotion:overwhelmed | pace:rushed | slides:39,40,41",3,Pace-Related
DDo yo like ilstneing to msic?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:75%,For Loops:98%,While Loops:52% | emotion:tired | pace:fast | slides:50,51,52",1,Off-Topic Question
Can you show me a more advanced use of File Handling?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:69%,Error Handling:40%,Classes&OOP:31% | emotion:bored | pace:dragging | slides:11,12,13",0,On-Topic Question
